ID,Zitat,Kategorie,Autor,Wikidata-ID (Autor),Werk,"Stelle im Werk 
(Ausgabe, Seite, etc)",Wikidata-ID (Werk),Sprache Zitat,Sprache Original,Quelle ,Bild ,"Argument, Beweis - ID","Argument, Beweis - Titel",Begriffe
2,"Gedanken ohne Inhalt sind leer, Anschauungen ohne Begriffe sind blind.",Philosophy,Immanuel Kant,Q9312,Kritik der reinen Vernunft,B75,Q220002,DE,DE,,,,,
3,Every deep thinker is more afraid of being understood than of beeing misunderstood.,Philosophy,Friedrich Nietzsche,Q9358,,,,EN,DE,https://www.pinterest.de/pin/385902261807817459/,,,,
4,"In order to love who you are, you cannot hate the experience that shaped you.",Daily Inspiration,Andrea Dykstra,,,,,EN,,https://www.pinterest.de/pin/320318592233227891/,,,,
5,"Always go too far, because that´s where you´ll find the truth.",Daily Inspiration,Albert Camus,Q34670,,,,EN,FR,https://www.pinterest.de/pin/139963500898390777/,,,,
6,"Bravery is not the absence of fear. Bravery is feeling the fear, the doubt, the insecurity, and deciding that something else is more important.",Daily Inspiration,Mark Manson,Q27704915,,,,EN,EN,https://www.pinterest.de/pin/548031848395015808/,,,,
7,"Machen Sie sich erst einmal unbeliebt, dann werden Sie auch ernst genommen.",Daily Inspiration,Konrad Adenauer,Q2492,,,,DE,DE,https://www.pinterest.de/pin/519813981974164969/,,,,
8,"Der Vorteil der Klugheit besteht darin, dass man sich dumm stellen kann. Das Gegenteil ist schon schwieriger.",Daily Inspiration,Kurt Tucholsky,Q57386,,,,DE,DE,https://www.pinterest.de/pin/45599014958872953/,,,,
9,"Wenn ich die Menschen gefragt hätte, was sie wollen, hätten sie gesagt: schnellere Pferde.",Daily Inspiration,Henry Ford,Q8768,,,,DE,EN,https://www.pinterest.de/pin/379639443579217847/,,,,
10,"I cannot teach anybody anything, I can only make them think.",Daily Inspiration,Sokrates,Q913,,,,EN,EL,https://www.pinterest.de/pin/145944844155584447/,,,,
11,"Der Mensch sucht blind nach dem Sein, indem er sich den freien Entwurf verbirgt, der dieses Suchen ist; er macht sich zu einem, der von Aufgaben erwartet wird, die auf seinem Weg liegen.",Philosophy,Jean-Paul Sartre,Q9364,Das Sein und das Nichts,"rororo 2008 (14.),
Gesammelt Bd 3, 
S.1070",Q119709,DE,FR,,,,,
12,"Es bedarf einer primären Intention und eines Unaufrichtigkeitsentwurfs; dieser Entwurf impliziert ein Verständnis der Unaufrichtigkeit als solcher und ein präreflexives Erfassen (von) dem Bewusstsein, dass es sich in Unaufrichtigkeit verwirklicht. Daraus folgt zunächst, dass der, den man belügt, und der, der lügt, ein und dieselbe Person sind, was bedeutet, dass ich als Täuschender die Wahrheit kennen muss, die mir als Getäuschtem verborgen ist. Mehr noch, ich muss diese Wahrheit sehr genau kennen, um sie sorgfältig vor mir verstecken zu können…",Philosophy,Jean-Paul Sartre,Q9364,Das Sein und das Nichts,"rororo 2008 (14.),
Gesammelt Bd 3, 
S.123",Q119709,DE,FR,,,,,
13,"Sarte lebte, um zu schreiben. Er war berufen, von allen Dingen Zeugnis abzulegen und sie, unter dem Primat der Notwendigkeit, denkend neu zu erschaffen. Meine Aufgabe war, mein Bewusstsein der vielfältigen Pracht des Lebens zu öffnen, und ich muss schreiben, um sie der Zeit und dem Nichts zu entreißen. 
Die Aufgaben stellten sich uns mit einer Entschiedenheit, die uns die Erfüllung garantierte. Ohne es auszusprechen, schlossen wir uns dem Kantschen Optimismus an: du sollst, also kannst du; und in der Tat, wie könnte man auch das Wollen in Zweifel ziehen, wenn es sich einmal geformt hat und zutage tritt? Demnach sind Wollen und Glauben eins. Daher unser Vertrauen ins die Welt und in uns selbst. Die Gesellschaft in ihrer gegenwärtigen Form lehnten wir ab; aber dieser Ablehnung haftete nichts Sauertöpfisches an: sie enthielt einen unverwüstlichen Optimismus. Der Mensch musste neu geschaffen werden, und diese Erfindung würde zum Teil unser Werk sein.",Philosophy,Simone de Beauvoir,Q7197,In den besten Jahren,"rororo 2004 (24.), S.16",,DE,FR,,,,,
14,Das habe ich gethan“ sagt mein Gedächtniss. Das kann ich nicht gethan haben — sagt mein Stolz und bleibt unerbittlich. Endlich — giebt das Gedächtniss nach.,Philosophy,Friedrich Nietzsche,Q9358,Jenseits von Gut und Böse,S.68 (Gesammelte Werke),Q579794,DE,DE,,,,,
15,"In dieser Woche habe ich dreimal die Matthäus-Passion gehört, jedes Mal mit demselben Gefühl der unermesslichen Bewunderung. Wer das Christentum völlig verlernt hat, der hört es hier wirklich wie ein Evangelium.",Biographical,Friedrich Nietzsche,Q9358,,"Nietzsche, Briefwechsel (Colli/Montinari, Berlin 1977, Kritische Gesamtausgabe, Abt 2 Bd1, S. 120) zit nach Günter Jena: Das geht meiner Seele nah - Bachs Matthäuspassion, Piper 1993, S. 30",,DE,DE,,,,,
16,"Jeder Künstler weiss, wie fern vom Gefühl des Sich-gehen-lassens sein „natürlichster“ Zustand ist, das freie Ordnen, Setzen, Verfügen, Gestalten in den Augenblicken der „Inspiration“, — und wie streng und fein er gerade da tausendfältigen Gesetzen gehorcht, ",Biographical,Friedrich Nietzsche,Q9358,Jenseits von Gut und Böse,S.188 (Gesammelte Werke),Q579794,DE,DE,,,,,
17,"Friedrich Nietzsche, der Meisterformulierer jener Wahrheiten, mit denen man nicht leben kann, doch die zu ignorieren der intellektuellen Redlichkeit zuwider wäre…",Philosophy,Peter Sloterdijk,Q44845,Sphären I,"Suhrkamp 1998, S.24",,DE,DE,,,,,
18,"...letztlich ist eine Religion nichts anderes als eine versteinerte Philosophie - eine Philosophie, deren drängendes Fragen unterdrückt wurde.",Philosophy,Simon Blackburn,Q287357,,"Blackburn über: Platon. Der Staat, dtv 2007, S.11",,DE,EN,,,,,
19,Das Politische ist das Produkt aus Gruppenwahn und Territorium.,Politics,Peter Sloterdijk,Q44845,Sphären I,"Suhrkamp 1998, S.84",,DE,DE,,,,,
20,"Die Exklusivität der Philosophie drückt nicht ihre eigene Anmaßung aus; sie folgt aus den Selbstbefriedigungen derer, die sicher sind, es gehe auch ohne philosophisches Denken.",,Peter Sloterdijk,Q44845,Sphären I,"Suhrkamp 1998, S.13",,DE,DE,,,,,
21,"Die Erkenntnis öffnet sich einfach auf ein unbegrenztes Fortschreiten, dessen Ende man nicht kennt und dessen Gewinn sich im Laufe der Geschichte lediglich in der instituierten Kumulierung von Wissen oder im psychologischen oder sozialen Gewinn darstellt, der sich daraus ziehen lässt, dass man schließlich die Wahrheit erlangt hat, wo man sich doch so großen Mühen unterzogen hat. So wie die Wahrheit von jetzt an geartet ist, ist sie nicht dazu geeignet, dem Subjekt auch das Seelenheil zu gewähren.",Philosophy,Michel Foucault,Q44272,Hermeneutik des Subjekts,"Suhrkamp 2009, S.37",,DE,FR,,,,,
22,"Wird die Geistigkeit als jene Form von Praktiken definiert, die voraussetzen, dass das Subjekt, so wie es ist, der Wahrheit nicht fähig ist, dass aber die Wahrheit, so wie sie ist, das Subjekt zu läutern und zu retten fähig ist, dann sagen wir, dass die moderne Epoche der Beziehungen von Subjekt und Wahrheit an dem Tag beginnt, an dem wir voraussetzen, dass das Subjekt, so wie es ist, der Wahrheit fähig ist, dass aber die Wahrheit, so wie sie ist, das Subjekt nicht länger retten kann.",Philosophy,Michel Foucault,Q44272,Hermeneutik des Subjekts,"Suhrkamp 2009, S.37",,DE,FR,,,,,
23,"Denn die Sorge um sich, das werden wir noch sehen, ist etwas, das der Beziehung zu einem anderen bedarf, welcher der Meister ist.",Philosophy,Michel Foucault,Q44272,Hermeneutik des Subjekts,"Suhrkamp 2009, S.86",,DE,FR,,,,,
24,Selbstbewusste Individualität und ins Werk gesetzte Universalität sind die Elemente der menschlichen Kultur.,Philosophy,Volker Gerhardt,Q111313,,"Immanuel Kant: Vernunft & Leben, Reclam 2002
S.8f
",,DE,DE,,,,,
25,"Tatsächlich bewegt sich die Wissenschaft also von der empirischen Erfahrung über einen konzeptionellen Gedankenprozess, in dem das rationale Denken eine wichtige Rolle spielt, hin zu weiteren empirischen Erfahrungen, die das auf Vernunft gegründete Verständnis bestätigen. Immer wieder begeistern mich die Parallelen zwischen dieser Form der empirischen Untersuchung und jener, die mir aus meiner buddhistisch-philosophischen Ausbildung und kontemplativen Praxis vertraut sind.",Philosophy,Dalai Lama,Q37349,Die Welt in einem einzigen Atom,"Herder 2005, S.29f",,DE,,,,,,
26,"Wenn ich die Einschränkung so ansehe, in welche die thätigen und forschenden Kräfte des Menschen eingesperrt sind, wenn ich sehe, wie alle Würksamkeit dahinaus läuft, sich die Befriedigung von Bedürfnissen zu verschaffen, die wieder keinen Zwek haben, als unsere arme Existenz zu verlängern, und dann, daß alle Beruhigung über gewisse Punkte des Nachforschens nur eine träumende Resignation ist, da man sich die Wände, zwischen denen man gefangen sitzt, mit bunten Gestalten und lichten Aussichten bemahlt. Das alles, Wilhelm, macht mich stumm. Ich kehre in ich selbst zurük, und finde eine Welt!",Politics,Johann Wolfgang von Goethe,Q5879,Die Leiden des jungen Werthers,"Text und Kommentar, Suhrkamp 1998, S.14",Q151883,DE,DE,,,,,
27,"Und da käme ein Philister, ein Mann, der in einem öffentlichen Amte steht, und sagte zu ihm: feiner junger Herr, lieben ist menschlich, nur müßt ihr menschlich lieben! Theilet eure Stunden ein, die einen zur Arbeit, und die Erholungsstunden widmet eurem Mädchen, berechnet euer Vermögen, und was euch von euerer Nothdurft übrig bleibt, davon verwehr ich euch nicht ihr ein Geschenk, nur nicht zu oft, zu machen. … Folgt der Mensch, so giebts einen brauchbaren jungen Menschen, und ich will selbst jedem Fürsten rathen, ihn in ein Collegium zu sezzen, nur mit seiner Liebe ist´s am Ende, und wenn er ein Künstler ist, mit seiner Kunst.",Politics,Johann Wolfgang von Goethe,Q5879,Die Leiden des jungen Werthers,"Text und Kommentar, Suhrkamp 1998, S.17",Q151883,DE,DE,,,,,"Liebe,"
28,"Und in der Tat, man darf wohl sagen, dass sich die unerwarteten Einfälle durch nichts anderes einstellen, als dass man sie erwartet.
Sie sind zu einem nicht kleinen Teil ein Erfolg des Charakters, beständiger Neigungen, ausdauernden Ehrgeizes und unabhlässiger Beschäftigung.",Biographical,Robert Musil,Q78487,Der Mann ohne Eigenschaften,"Rororo 2015 (2.), S.111",Q1195668,DE,DE,,,,,
29,"Dieses verdutzte Gefühl nennen viele Leute heutigentags Intuition, nachdem man es früher auch Inspiration genannt hat, und glauben etwas Überpersönliches darin sehen zu müssen; es ist aber nur etwas Unpersönliches, nämlich die Affinität und Zusammengehörigkeit der Sachen selbst, die in einem Kopf zusammentreffen.
Je besser der Kopf, desto weniger ist dabei von ihm wahrzunehmen.",Biographical,Robert Musil,Q78487,Der Mann ohne Eigenschaften,"Rororo 2015 (2.), S.112",Q1195668,DE,DE,,,,,
30,"Im Grunde wissen in den Jahren der Lebensmitte wenig Menschen mehr, wie sie eigentlich zu sich selbst gekommen sind, zu ihren Vergnügungen, ihrer Weltanschauung, ihrer Frau, ihrem Charakter, Beruf und ihren Erfolgen, aber sie haben das Gefühl, dass sich nun nicht mehr viel ändern kann.",Biographical,Robert Musil,Q78487,Der Mann ohne Eigenschaften,"Rororo 2015 (2.), S.130f",Q1195668,DE,DE,,,,,
31,"We are beings who fall very easily into despair, and we have to work very hard to create within ourselves a conviction that life is good, even though all around us we see pain, cruelty, sickness und injustice.",Daily Inspiration,Karen Armstrong,Q256548,,"Buddha (phoenix 2000), S.4
",,EN,EN,,,,,
32,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",Daily Inspiration,Rumi,Q43347,,,,EN,,Quotlr - App,,,,
33,Sincerity is the way to heaven. The way of sincerity lies in one´s way of life.,Daily Inspiration,Mr or Mrs Unknown,,"ancient Chinese book entitled ""The Golden Mean""",,,EN,,"The Path of Oneness, S.345",,,,
34,Do you have the patience to wait until your mud settles and the water is clear?,Daily Inspiration,Laozi,Q9333,Tao Te Ching,,Q134425,EN,,,,,,
35,"What we think, we become.",Daily Inspiration,Gautama Buddha,Q9441,,,,EN,,https://www.brainyquote.com/quotes/quotes/b/buddha141565.html,,,,
36,"You will not be punished for your anger, you will be punished by your anger.",Daily Inspiration,Gautama Buddha,Q9441,,,,EN,,https://www.brainyquote.com/quotes/quotes/b/buddha384547.html,,,,
37,"Mann kann sich nur zweierlei Kausalität in Ansehung dessen, was geschieht, denken, entweder nach der Natur oder aus Freiheit.",Philosophy,Immanuel Kant,Q9312,Kritik der reinen Vernunft,9.Von dem empirischen Gebrauche des regulativen Prinzips... III. Auflösung der komsologischen Ideen...,Q220002,DE,DE,,,,,
38,"Man könnte sogar sagen, dass Amerikas Jahrhundert eine schöngefärbte Verlängerung von Europas erstaunlicher Phase globaler Hegemonie darstellt. Diese dauerte von 1757, als britische Truppen am Ufer des Ganges in Plassey die Armee des Mogulreichs besiegten, bis zum Ausbruch des Ersten Weltkriegs.",Politics,,,,"Adam Tooze ""Abschied von den USA"" (DIE ZEIT, 12.1.17)",,,,,,,,
39,Die Freiheit im praktischen Verstande ist die Unabhängigkeit der Willkür von der Nötigung durch Antriebe der Sinnlichkeit.,Philosophy,Immanuel Kant,Q9312,Kritik der reinen Vernunft,9.Von dem empirischen Gebrauche des regulativen Prinzips... III. Auflösung der komsologischen Ideen...,Q220002,DE,DE,,,,,
